"GO_0016","            IDA/C0202558400R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.646
"GO_0016","            IDA/C0202558500R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.764
"GO_0016","            IDA/C0202558545R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.739
"GO_0016","            IDA/C0202559400R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.062
"GO_0016","            IDA/C0202560500R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.211
"GO_0016","            IDA/C0202560600R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.777
"GO_0016","            IDA/C0202560645R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.499
"GO_0016","            IDA/C0202560700R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.991
"GO_0016","            IDA/C0202560745R.LBL","HCM", -1, -1, -1, -1, -1, -1, -1, -1," ON","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  2.843
"GO_0016","            IDA/C0202561278R.LBL","IM4", -1, -1, -1, -1, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","U","               UNK","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","   UNK", -1, -1, -1,"   UNK","    UNK","                 GLL940520.BSP","                 GLL940520.BSP","                           N/A","   CKEJ03DI_PREDICT_I NTERP.BC","             SSI_MINI_E.EJ03DI",  1.691
