"GO_0021","     E19/EUROPA/C0484889814R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 14,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                  CKE19AHC.PLT","                          NULL",  5.876
"GO_0021","     E19/EUROPA/C0484889818R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 14,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                    CKE19F.PLT","                          NULL",  5.948
"GO_0021","     E19/EUROPA/C0484889821R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 15,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                    CKE19F.PLT","                          NULL",  5.925
"GO_0021","     E19/EUROPA/C0484889825R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 15,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                    CKE19F.PLT","                          NULL",  5.917
"GO_0021","     E19/EUROPA/C0484889828R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 16,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                    CKE19F.PLT","                          NULL",  5.995
"GO_0021","     E19/EUROPA/C0484889832R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 15,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                    CKE19F.PLT","                          NULL",  5.985
"GO_0021","     E19/EUROPA/C0484889835R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 15,"ZIGZAG","UNIFORM","                  S990426A.BSP","                  S991014A.BSP","                           N/A","                   MIPS_NAV.CK","                          NULL",  5.869
"GO_0021","     E19/EUROPA/C0484889836R.LBL","AI8",193,113,208,184, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","UNIFOR", -1,  1, -1,"   UNK","    UNK","                  S990426A.BSP","                  S991014A.BSP","                           N/A","                   MIPS_NAV.CK","                          NULL",  5.530
"GO_0021","     E19/EUROPA/C0484889839R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0, 14,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                    CKE19F.PLT","                          NULL",  5.928
"GO_0021","     E19/EUROPA/C0484889842R.LBL","AI8",  1,  1,400,400, -1, -1, -1, -1,"OFF","  NORMAL","OFF","NOT INVERTED","N","               N/A","N/A","                 N/A","                 N/A","                 N/A","                 N/A","LSB_UNSIGNED_INTEGER","SKEWED",255,  0,  4,"ZIGZAG","UNIFORM","                  S991014A.BSP","                  S991014A.BSP","                           N/A","                    CKE19F.PLT","                          NULL",  3.701
