# TDB, UTC, DOY, new-SCLK, old-SCLK, difference
121720000 2003-11-10T07:05:35.817353 314 1447140459.281374 1447140459.360605 -0.079231
121740000 2003-11-10T12:38:55.817349 314 1447160459.411784 1447160459.491269 -0.079486
121760000 2003-11-10T18:12:15.817345 314 1447180459.542166 1447180459.621933 -0.079767
121780000 2003-11-10T23:45:35.817341 314 1447200459.672521 1447200459.752597 -0.080076
121800000 2003-11-11T05:18:55.817337 315 1447220459.802876 1447220459.883260 -0.080385
121820000 2003-11-11T10:52:15.817333 315 1447240459.933230 1447240460.013924 -0.080694
121840000 2003-11-11T16:25:35.817330 315 1447260460.063585 1447260460.144588 -0.081003
121860000 2003-11-11T21:58:55.817326 315 1447280460.193940 1447280460.275252 -0.081312
121880000 2003-11-12T03:32:15.817322 316 1447300460.324294 1447300460.405915 -0.081621
121900000 2003-11-12T09:05:35.817317 316 1447320460.454649 1447320460.536579 -0.081930
121920000 2003-11-12T14:38:55.817313 316 1447340460.585004 1447340460.667243 -0.082239
121940000 2003-11-12T20:12:15.817309 316 1447360460.715358 1447360460.797907 -0.082548
121960000 2003-11-13T01:45:35.817305 317 1447380460.845713 1447380460.928570 -0.082857
121980000 2003-11-13T07:18:55.817301 317 1447400460.976068 1447400461.059234 -0.083166
122000000 2003-11-13T12:52:15.817297 317 1447420461.106422 1447420461.189898 -0.083476
122020000 2003-11-13T18:25:35.817293 317 1447440461.236777 1447440461.320562 -0.083785
122040000 2003-11-13T23:58:55.817289 317 1447460461.367132 1447460461.451225 -0.084094
122060000 2003-11-14T05:32:15.817284 318 1447480461.497486 1447480461.581889 -0.084403
122080000 2003-11-14T11:05:35.817280 318 1447500461.627841 1447500461.712553 -0.084712
122100000 2003-11-14T16:38:55.817276 318 1447520461.758196 1447520461.843217 -0.085021
122120000 2003-11-14T22:12:15.817272 318 1447540461.888551 1447540461.973880 -0.085330
122140000 2003-11-15T03:45:35.817267 319 1447560462.018905 1447560462.104544 -0.085639
122160000 2003-11-15T09:18:55.817263 319 1447580462.149260 1447580462.235208 -0.085948
122180000 2003-11-15T14:52:15.817259 319 1447600462.279614 1447600462.365871 -0.086257
122200000 2003-11-15T20:25:35.817254 319 1447620462.409969 1447620462.496535 -0.086566
122220000 2003-11-16T01:58:55.817250 320 1447640462.540324 1447640462.627199 -0.086875
122240000 2003-11-16T07:32:15.817246 320 1447660462.670679 1447660462.757863 -0.087184
122260000 2003-11-16T13:05:35.817241 320 1447680462.801033 1447680462.888526 -0.087493
122280000 2003-11-16T18:38:55.817237 320 1447700462.931388 1447700463.019190 -0.087802
122300000 2003-11-17T00:12:15.817232 321 1447720463.061743 1447720463.149854 -0.088112
122320000 2003-11-17T05:45:35.817228 321 1447740463.192097 1447740463.280518 -0.088421
122340000 2003-11-17T11:18:55.817223 321 1447760463.322452 1447760463.411181 -0.088730
122360000 2003-11-17T16:52:15.817219 321 1447780463.452806 1447780463.541845 -0.089039
122380000 2003-11-17T22:25:35.817214 321 1447800463.583161 1447800463.672509 -0.089348
122400000 2003-11-18T03:58:55.817210 322 1447820463.713516 1447820463.803173 -0.089657
122420000 2003-11-18T09:32:15.817205 322 1447840463.843871 1447840463.876280 -0.032409
122440000 2003-11-18T15:05:35.817201 322 1447860463.974225 1447860464.006756 -0.032530
122460000 2003-11-18T20:38:55.817196 322 1447880464.104580 1447880464.137232 -0.032652
122480000 2003-11-19T02:12:15.817191 323 1447900464.234935 1447900464.267708 -0.032773
122500000 2003-11-19T07:45:35.817187 323 1447920464.365289 1447920464.398184 -0.032895
122520000 2003-11-19T13:18:55.817182 323 1447940464.495644 1447940464.528660 -0.033016
122540000 2003-11-19T18:52:15.817177 323 1447960464.625999 1447960464.659136 -0.033138
122560000 2003-11-20T00:25:35.817173 324 1447980464.756353 1447980464.789613 -0.033259
